Source:,/Users/naomi_12/Desktop/Meg-Younger-Lab/solenoid-driver-master/8ch-driver-v0/8ch-driver-v0.kicad_sch,,,,,,,,,,
Date:,"2023 September 01, Friday 14:24:09",,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,120,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Link to Buy,Mfg,PartNum,Qty to Order,Indv Price,Group Price
1,1,C1,47uF,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,https://www.digikey.com/en/products/detail/kemet/T491X476K035AT/818681,Kemet,T491X476K035AT,10,$2.33 ,$23.28 
2,8,"C2, C5, C8, C11, C14, C17, C18, C21",0.18uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/kyocera-avx/08053C184KAT2A/563508,KYOCERA AVX,08053C184KAT2A,50,$0.14 ,$4.32 
3,8,"C3, C6, C9, C12, C15, C19, C20, C22",470pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/kemet/C0805C471K5RAC7800/411141,Kemet,C0805C471K5RAC7800,50,$0.04 ,$1.87 
4,8,"C4, C7, C10, C13, C16, C23, C24, C25",10uF,Device:C,Capacitor_SMD:C_1210_3225Metric,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32A106KLULNNE/3888965,Samsung Electro-Mechanics,CL32A106KLULNNE,50,$0.17 ,$8.49 
5,8,"D1, D3, D5, D7, D9, D11, D12, D13, D17, D18, D19, D20, D21, D22, D23, D24",LED Red,Device:LED,LED_SMD:LED_0805_2012Metric,https://www.digikey.com/en/products/detail/würth-elektronik/150080RS75000/4489918,Wurth,150080RS75000,50,$0.18 ,$8.80 
6,8,"D2, D4, D6, D8, D10, D14, D15, D16",LED Green,Device:D,LED_SMD:LED_0805_2012Metric,https://www.digikey.com/en/products/detail/würth-elektronik/150080VS75000/4489924,Wurth,150080VS75000,50,$0.18 ,$8.80 
7,8,"D2, D4, D6, D8, D10, D14, D15, D16",PMEG10010ELRX,Device:D,Diode_SMD:Nexperia_CFP3_SOD-123W,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PMEG10010ELRX/5436248,Nexperia,PMEG10010ELRX,50,$0.29 ,$14.30 
8,1,F1,0ZCF0125FF2C,Device:Polyfuse,Fuse:Fuse_2920_7451Metric,https://www.digikey.com/en/products/detail/bel-fuse-inc/0ZCF0125FF2C/4156315,Bel Fuse,0ZCF0125FF2C,10,$0.28 ,$2.84 
9,1,J1,Barrel_Jack,Connector:Barrel_Jack,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal,https://www.digikey.com/en/products/detail/cui-devices/PJ-063AH/2161208,CUI,PJ-063AH,~,~,~
10,2,"J2, J3",Screw_Terminal_01x08,Connector:Screw_Terminal_01x08,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-8-5.0-H_1x08_P5.00mm_Horizontal",https://www.digikey.com/en/products/detail/cui-devices/PJ-063AH/2161208,Phoenix Contact,1935226,15,$1.97 ,$29.54 
