"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R23,R11,R35,R29,R47,R5,R17,R41,R59,R71,R77,R65,R89,R95,R83,R53";"R_1206_3216Metric";16;"191k";;;
2;"C3,C6,C18,C12,C24,C9,C21,C15,C27,C39,C30,C45,C42,C36,C33,C48";"C_1206_3216Metric";16;"0.18uF";;;
3;"R16,R40,R37,R19,R28,R48,R4,R46,R30,R1,R34,R43,R10,R6,R7,R18,R24,R13,R42,R12,R31,R22,R36,R25,R78,R55,R67,R60,R70,R76,R90,R61,R94,R85,R64,R84,R54,R49,R73,R72,R66,R96,R91,R58,R52,R82,R79,R88";"R_1206_3216Metric";48;"4k7";;;
4;"C23,C11,C14,C17,C2,C20,C5,C8,C38,C32,C35,C29,C26,C41,C47,C44";"C_1210_3225Metric";16;"10uF";;;
5;"D33,D42,D39,D24,D27,D45,D3,D9,D30,D18,D15,D21,D48,D36,D12,D6";"LED_0805_2012Metric";16;"LED";;;
6;"C4,C16,C13,C19,C7,C25,C22,C10,C49,C40,C37,C31,C43,C46,C34,C28";"C_1206_3216Metric";16;"470pF";;;
7;"D38,D29,D5,D41,D11,D26,D23,D47,D44,D20,D2,D14,D8,D32,D35,D17";"LED_0805_2012Metric";16;"LED Green";;;
8;"H3,H1,H2,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
9;"R3,R9,R33,R45,R39,R15,R27,R21,R57,R63,R69,R75,R93,R51,R81,R87";"R_1206_3216Metric";16;"49R9";;;
10;"U3,U8,U1,U2,U5,U4,U6,U7,U12,U13,U9,U16,U10,U14,U15,U11";"IC_TPS27S100BPWPR";16;"DRV104PWP";;;
11;"D13,D22,D7,D10,D4,D16,D19,D1,D28,D25,D37,D34,D40,D43,D46,D31";"Nexperia_CFP3_SOD-123W";16;"PMEG10010ELRX";;;
12;"LP4,LP7,LP5,LP8,LP2,LP6,LP1,LP3";"Lightpipe_LPF-C014301S";8;"LPF-C014301S";;;
13;"C1";"CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder";1;"47uF";;;
14;"J3,J4";"CUI_TBL009-254-16GY-2GY";2;"TBL009-254-16GY-2GY";;;
15;"Q6,Q2,Q7,Q4,Q3,Q1,Q8,Q5,Q9,Q16,Q15,Q10,Q11,Q14,Q12,Q13";"SOT-23";16;"2N7002E";;;
16;"R14,R8,R44,R38,R20,R32,R2,R26,R92,R74,R62,R68,R50,R80,R56,R86";"R_1206_3216Metric";16;"162k";;;
17;"F1";"Fuse_2920_7451Metric";1;"0ZCF0125FF2C";;;
18;"J1";"CUI_PJ-063AH";1;"PJ-063AH";;;
19;"U18";"FT4232H_MINI_MODULE";1;"FT4232H MINI MODULE";;;
